Consumption_A,Consumption_B,Consumption_C,Production_A,Production_B,Production_C,is_weekend,Date,Time
222.0,222.0,99.0,0.0,0.0,0,0,2021-06-01,0
142.0,142.0,73.0,0.0,0.0,0,0,2021-06-01,1
148.0,148.0,73.0,0.0,0.0,0,0,2021-06-01,2
159.0,159.0,70.0,0.0,0.0,0,0,2021-06-01,3
123.0,123.0,72.0,0.0,0.0,0,0,2021-06-01,4
156.0,156.0,86.0,0.0,0.0,0,0,2021-06-01,5
190.0,190.0,60.0,114.0,91.0,0,0,2021-06-01,6
283.0,283.0,79.0,314.0,251.0,0,0,2021-06-01,7
210.0,210.0,129.0,1270.0,1016.0,0,0,2021-06-01,8
269.0,269.0,178.0,2697.0,2157.0,0,0,2021-06-01,9
393.0,393.0,185.0,4018.0,3214.0,0,0,2021-06-01,10
385.0,385.0,144.0,4996.0,3996.0,0,0,2021-06-01,11
415.0,415.0,133.0,5235.0,4188.0,0,0,2021-06-01,12
1148.0,1148.0,388.0,5393.0,4314.0,0,0,2021-06-01,13
343.0,343.0,218.0,5173.0,4138.0,0,0,2021-06-01,14
408.0,408.0,454.0,5114.0,4091.0,0,0,2021-06-01,15
423.0,423.0,401.0,4391.0,3512.0,0,0,2021-06-01,16
307.0,307.0,234.0,3147.0,2517.0,0,0,2021-06-01,17
231.0,231.0,123.0,1678.0,1342.0,0,0,2021-06-01,18
254.0,254.0,135.0,482.0,385.0,0,0,2021-06-01,19
326.0,326.0,134.0,76.0,60.0,0,0,2021-06-01,20
337.0,337.0,185.0,0.0,0.0,0,0,2021-06-01,21
318.0,318.0,156.0,0.0,0.0,0,0,2021-06-01,22
249.0,249.0,156.0,0.0,0.0,0,0,2021-06-01,23
227.0,173.0,180.0,0.0,0.0,0,0,2021-06-02,0
166.0,145.0,76.0,0.0,0.0,0,0,2021-06-02,1
141.0,143.0,80.0,0.0,0.0,0,0,2021-06-02,2
145.0,172.0,66.0,0.0,0.0,0,0,2021-06-02,3
172.0,127.0,69.0,0.0,0.0,0,0,2021-06-02,4
165.0,158.0,93.0,1.0,0.0,0,0,2021-06-02,5
306.0,128.0,62.0,112.0,89.0,0,0,2021-06-02,6
1274.0,297.0,137.0,305.0,244.0,0,0,2021-06-02,7
412.0,257.0,209.0,1255.0,1004.0,0,0,2021-06-02,8
309.0,282.0,313.0,2701.0,2160.0,0,0,2021-06-02,9
343.0,1023.0,324.0,3942.0,3153.0,0,0,2021-06-02,10
458.0,957.0,432.0,4920.0,3936.0,0,0,2021-06-02,11
389.0,671.0,489.0,5204.0,4163.0,0,0,2021-06-02,12
421.0,1260.0,140.0,5215.0,4172.0,0,0,2021-06-02,13
1060.0,343.0,164.0,5379.0,4303.0,0,0,2021-06-02,14
409.0,301.0,141.0,4996.0,3996.0,0,0,2021-06-02,15
391.0,341.0,191.0,4286.0,3428.0,0,0,2021-06-02,16
300.0,287.0,261.0,3057.0,2445.0,0,0,2021-06-02,17
210.0,338.0,665.0,1633.0,1306.0,0,0,2021-06-02,18
200.0,229.0,127.0,458.0,366.0,0,0,2021-06-02,19
265.0,286.0,165.0,79.0,63.0,0,0,2021-06-02,20
329.0,345.0,166.0,0.0,0.0,0,0,2021-06-02,21
270.0,260.0,167.0,0.0,0.0,0,0,2021-06-02,22
289.0,219.0,129.0,0.0,0.0,0,0,2021-06-02,23
198.0,165.0,84.0,0.0,0.0,0,0,2021-06-03,0
146.0,140.0,75.0,0.0,0.0,0,0,2021-06-03,1
146.0,179.0,75.0,0.0,0.0,0,0,2021-06-03,2
140.0,144.0,60.0,0.0,0.0,0,0,2021-06-03,3
145.0,127.0,82.0,0.0,0.0,0,0,2021-06-03,4
172.0,174.0,76.0,0.0,0.0,0,0,2021-06-03,5
121.0,130.0,70.0,150.0,120.0,0,0,2021-06-03,6
159.0,259.0,129.0,486.0,388.0,0,0,2021-06-03,7
258.0,304.0,157.0,1683.0,1346.0,0,0,2021-06-03,8
356.0,458.0,167.0,1713.0,1370.0,0,0,2021-06-03,9
370.0,554.0,177.0,2427.0,1941.0,0,0,2021-06-03,10
289.0,320.0,147.0,4420.0,3536.0,0,0,2021-06-03,11
266.0,763.0,241.0,5099.0,4079.0,0,0,2021-06-03,12
776.0,1006.0,438.0,2048.0,1638.0,0,0,2021-06-03,13
