Production;Purchased;FeedIn;Consumption;SelfConsumption;Dates
;222.0;0.0;222.0;0.0;01.06.2021 00:00
;142.0;0.0;142.0;0.0;01.06.2021 01:00
;148.0;0.0;148.0;0.0;01.06.2021 02:00
;159.0;0.0;159.0;0.0;01.06.2021 03:00
;123.0;0.0;123.0;0.0;01.06.2021 04:00
0.0;156.0;0.0;156.0;0.0;01.06.2021 05:00
114.0;82.0;6.0;190.0;108.0;01.06.2021 06:00
314.0;93.0;124.0;283.0;190.0;01.06.2021 07:00
1270.0;0.0;1060.0;210.0;210.0;01.06.2021 08:00
2697.0;0.0;2428.0;269.0;269.0;01.06.2021 09:00
4018.0;0.0;3625.0;393.0;393.0;01.06.2021 10:00
4996.0;0.0;4611.0;385.0;385.0;01.06.2021 11:00
5235.0;0.0;4820.0;415.0;415.0;01.06.2021 12:00
5393.0;0.0;4245.0;1148.0;1148.0;01.06.2021 13:00
5173.0;0.0;4830.0;343.0;343.0;01.06.2021 14:00
5114.0;0.0;4706.0;408.0;408.0;01.06.2021 15:00
4391.0;0.0;3968.0;423.0;423.0;01.06.2021 16:00
3147.0;0.0;2840.0;307.0;307.0;01.06.2021 17:00
1678.0;0.0;1447.0;231.0;231.0;01.06.2021 18:00
482.0;13.0;241.0;254.0;241.0;01.06.2021 19:00
76.0;252.0;2.0;326.0;74.0;01.06.2021 20:00
0.0;337.0;0.0;337.0;0.0;01.06.2021 21:00
;318.0;0.0;318.0;0.0;01.06.2021 22:00
0.0;249.0;0.0;249.0;0.0;01.06.2021 23:00
;227.0;0.0;227.0;0.0;02.06.2021 00:00
;166.0;0.0;166.0;0.0;02.06.2021 01:00
;141.0;0.0;141.0;0.0;02.06.2021 02:00
;145.0;0.0;145.0;0.0;02.06.2021 03:00
;172.0;0.0;172.0;0.0;02.06.2021 04:00
1.0;164.0;0.0;165.0;1.0;02.06.2021 05:00
112.0;202.0;8.0;306.0;104.0;02.06.2021 06:00
305.0;969.0;0.0;1274.0;305.0;02.06.2021 07:00
1255.0;78.0;921.0;412.0;334.0;02.06.2021 08:00
2701.0;0.0;2392.0;309.0;309.0;02.06.2021 09:00
3942.0;0.0;3599.0;343.0;343.0;02.06.2021 10:00
4920.0;0.0;4462.0;458.0;458.0;02.06.2021 11:00
5204.0;0.0;4815.0;389.0;389.0;02.06.2021 12:00
5215.0;0.0;4794.0;421.0;421.0;02.06.2021 13:00
5379.0;0.0;4319.0;1060.0;1060.0;02.06.2021 14:00
4996.0;0.0;4587.0;409.0;409.0;02.06.2021 15:00
4286.0;0.0;3895.0;391.0;391.0;02.06.2021 16:00
3057.0;0.0;2757.0;300.0;300.0;02.06.2021 17:00
1633.0;0.0;1423.0;210.0;210.0;02.06.2021 18:00
458.0;13.0;271.0;200.0;187.0;02.06.2021 19:00
79.0;186.0;0.0;265.0;79.0;02.06.2021 20:00
0.0;329.0;0.0;329.0;0.0;02.06.2021 21:00
;270.0;0.0;270.0;0.0;02.06.2021 22:00
0.0;289.0;0.0;289.0;0.0;02.06.2021 23:00
;198.0;0.0;198.0;0.0;03.06.2021 00:00
;146.0;0.0;146.0;0.0;03.06.2021 01:00
;146.0;0.0;146.0;0.0;03.06.2021 02:00
;140.0;0.0;140.0;0.0;03.06.2021 03:00
;145.0;0.0;145.0;0.0;03.06.2021 04:00
0.0;172.0;0.0;172.0;0.0;03.06.2021 05:00
150.0;24.0;53.0;121.0;97.0;03.06.2021 06:00
486.0;1.0;328.0;159.0;158.0;03.06.2021 07:00
1683.0;0.0;1425.0;258.0;258.0;03.06.2021 08:00
1713.0;7.0;1364.0;356.0;349.0;03.06.2021 09:00
2427.0;0.0;2057.0;370.0;370.0;03.06.2021 10:00
4420.0;0.0;4131.0;289.0;289.0;03.06.2021 11:00
5099.0;0.0;4833.0;266.0;266.0;03.06.2021 12:00
2048.0;304.0;1576.0;776.0;472.0;03.06.2021 13:00
1830.0;116.0;1509.0;437.0;321.0;03.06.2021 14:00
4486.0;1.0;3579.0;908.0;907.0;03.06.2021 15:00
3000.0;78.0;2276.0;802.0;724.0;03.06.2021 16:00
2840.0;11.0;2383.0;468.0;457.0;03.06.2021 17:00
841.0;0.0;595.0;246.0;246.0;03.06.2021 18:00
426.0;4.0;160.0;270.0;266.0;03.06.2021 19:00
65.0;205.0;1.0;269.0;64.0;03.06.2021 20:00
0.0;370.0;0.0;370.0;0.0;03.06.2021 21:00
;313.0;0.0;313.0;0.0;03.06.2021 22:00
0.0;313.0;0.0;313.0;0.0;03.06.2021 23:00
;299.0;0.0;299.0;0.0;04.06.2021 00:00
;163.0;0.0;163.0;0.0;04.06.2021 01:00
;154.0;0.0;154.0;0.0;04.06.2021 02:00
;216.0;0.0;216.0;0.0;04.06.2021 03:00
;131.0;0.0;131.0;0.0;04.06.2021 04:00
5.0;158.0;0.0;163.0;5.0;04.06.2021 05:00
216.0;14.0;77.0;153.0;139.0;04.06.2021 06:00
330.0;74.0;159.0;245.0;171.0;04.06.2021 07:00
