Production,Purchased,FeedIn,Consumption,SelfConsumption,Dates,Date,Time
0.0,222.0,0.0,222.0,0.0,2021-06-01 00:00:00,2021-06-01,0
0.0,142.0,0.0,142.0,0.0,2021-06-01 01:00:00,2021-06-01,1
0.0,148.0,0.0,148.0,0.0,2021-06-01 02:00:00,2021-06-01,2
0.0,159.0,0.0,159.0,0.0,2021-06-01 03:00:00,2021-06-01,3
0.0,123.0,0.0,123.0,0.0,2021-06-01 04:00:00,2021-06-01,4
0.0,156.0,0.0,156.0,0.0,2021-06-01 05:00:00,2021-06-01,5
114.0,82.0,6.0,190.0,108.0,2021-06-01 06:00:00,2021-06-01,6
314.0,93.0,124.0,283.0,190.0,2021-06-01 07:00:00,2021-06-01,7
1270.0,0.0,1060.0,210.0,210.0,2021-06-01 08:00:00,2021-06-01,8
2697.0,0.0,2428.0,269.0,269.0,2021-06-01 09:00:00,2021-06-01,9
4018.0,0.0,3625.0,393.0,393.0,2021-06-01 10:00:00,2021-06-01,10
4996.0,0.0,4611.0,385.0,385.0,2021-06-01 11:00:00,2021-06-01,11
5235.0,0.0,4820.0,415.0,415.0,2021-06-01 12:00:00,2021-06-01,12
5393.0,0.0,4245.0,1148.0,1148.0,2021-06-01 13:00:00,2021-06-01,13
5173.0,0.0,4830.0,343.0,343.0,2021-06-01 14:00:00,2021-06-01,14
5114.0,0.0,4706.0,408.0,408.0,2021-06-01 15:00:00,2021-06-01,15
4391.0,0.0,3968.0,423.0,423.0,2021-06-01 16:00:00,2021-06-01,16
3147.0,0.0,2840.0,307.0,307.0,2021-06-01 17:00:00,2021-06-01,17
1678.0,0.0,1447.0,231.0,231.0,2021-06-01 18:00:00,2021-06-01,18
482.0,13.0,241.0,254.0,241.0,2021-06-01 19:00:00,2021-06-01,19
76.0,252.0,2.0,326.0,74.0,2021-06-01 20:00:00,2021-06-01,20
0.0,337.0,0.0,337.0,0.0,2021-06-01 21:00:00,2021-06-01,21
0.0,318.0,0.0,318.0,0.0,2021-06-01 22:00:00,2021-06-01,22
0.0,249.0,0.0,249.0,0.0,2021-06-01 23:00:00,2021-06-01,23
0.0,227.0,0.0,227.0,0.0,2021-06-02 00:00:00,2021-06-02,0
0.0,166.0,0.0,166.0,0.0,2021-06-02 01:00:00,2021-06-02,1
0.0,141.0,0.0,141.0,0.0,2021-06-02 02:00:00,2021-06-02,2
0.0,145.0,0.0,145.0,0.0,2021-06-02 03:00:00,2021-06-02,3
0.0,172.0,0.0,172.0,0.0,2021-06-02 04:00:00,2021-06-02,4
1.0,164.0,0.0,165.0,1.0,2021-06-02 05:00:00,2021-06-02,5
112.0,202.0,8.0,306.0,104.0,2021-06-02 06:00:00,2021-06-02,6
305.0,969.0,0.0,1274.0,305.0,2021-06-02 07:00:00,2021-06-02,7
1255.0,78.0,921.0,412.0,334.0,2021-06-02 08:00:00,2021-06-02,8
2701.0,0.0,2392.0,309.0,309.0,2021-06-02 09:00:00,2021-06-02,9
3942.0,0.0,3599.0,343.0,343.0,2021-06-02 10:00:00,2021-06-02,10
4920.0,0.0,4462.0,458.0,458.0,2021-06-02 11:00:00,2021-06-02,11
5204.0,0.0,4815.0,389.0,389.0,2021-06-02 12:00:00,2021-06-02,12
5215.0,0.0,4794.0,421.0,421.0,2021-06-02 13:00:00,2021-06-02,13
5379.0,0.0,4319.0,1060.0,1060.0,2021-06-02 14:00:00,2021-06-02,14
4996.0,0.0,4587.0,409.0,409.0,2021-06-02 15:00:00,2021-06-02,15
4286.0,0.0,3895.0,391.0,391.0,2021-06-02 16:00:00,2021-06-02,16
3057.0,0.0,2757.0,300.0,300.0,2021-06-02 17:00:00,2021-06-02,17
1633.0,0.0,1423.0,210.0,210.0,2021-06-02 18:00:00,2021-06-02,18
458.0,13.0,271.0,200.0,187.0,2021-06-02 19:00:00,2021-06-02,19
79.0,186.0,0.0,265.0,79.0,2021-06-02 20:00:00,2021-06-02,20
0.0,329.0,0.0,329.0,0.0,2021-06-02 21:00:00,2021-06-02,21
0.0,270.0,0.0,270.0,0.0,2021-06-02 22:00:00,2021-06-02,22
0.0,289.0,0.0,289.0,0.0,2021-06-02 23:00:00,2021-06-02,23
0.0,198.0,0.0,198.0,0.0,2021-06-03 00:00:00,2021-06-03,0
0.0,146.0,0.0,146.0,0.0,2021-06-03 01:00:00,2021-06-03,1
0.0,146.0,0.0,146.0,0.0,2021-06-03 02:00:00,2021-06-03,2
0.0,140.0,0.0,140.0,0.0,2021-06-03 03:00:00,2021-06-03,3
0.0,145.0,0.0,145.0,0.0,2021-06-03 04:00:00,2021-06-03,4
0.0,172.0,0.0,172.0,0.0,2021-06-03 05:00:00,2021-06-03,5
150.0,24.0,53.0,121.0,97.0,2021-06-03 06:00:00,2021-06-03,6
486.0,1.0,328.0,159.0,158.0,2021-06-03 07:00:00,2021-06-03,7
1683.0,0.0,1425.0,258.0,258.0,2021-06-03 08:00:00,2021-06-03,8
1713.0,7.0,1364.0,356.0,349.0,2021-06-03 09:00:00,2021-06-03,9
2427.0,0.0,2057.0,370.0,370.0,2021-06-03 10:00:00,2021-06-03,10
4420.0,0.0,4131.0,289.0,289.0,2021-06-03 11:00:00,2021-06-03,11
5099.0,0.0,4833.0,266.0,266.0,2021-06-03 12:00:00,2021-06-03,12
2048.0,304.0,1576.0,776.0,472.0,2021-06-03 13:00:00,2021-06-03,13
1830.0,116.0,1509.0,437.0,321.0,2021-06-03 14:00:00,2021-06-03,14
4486.0,1.0,3579.0,908.0,907.0,2021-06-03 15:00:00,2021-06-03,15
3000.0,78.0,2276.0,802.0,724.0,2021-06-03 16:00:00,2021-06-03,16
2840.0,11.0,2383.0,468.0,457.0,2021-06-03 17:00:00,2021-06-03,17
841.0,0.0,595.0,246.0,246.0,2021-06-03 18:00:00,2021-06-03,18
426.0,4.0,160.0,270.0,266.0,2021-06-03 19:00:00,2021-06-03,19
65.0,205.0,1.0,269.0,64.0,2021-06-03 20:00:00,2021-06-03,20
0.0,370.0,0.0,370.0,0.0,2021-06-03 21:00:00,2021-06-03,21
0.0,313.0,0.0,313.0,0.0,2021-06-03 22:00:00,2021-06-03,22
0.0,313.0,0.0,313.0,0.0,2021-06-03 23:00:00,2021-06-03,23
0.0,299.0,0.0,299.0,0.0,2021-06-04 00:00:00,2021-06-04,0
0.0,163.0,0.0,163.0,0.0,2021-06-04 01:00:00,2021-06-04,1
0.0,154.0,0.0,154.0,0.0,2021-06-04 02:00:00,2021-06-04,2
0.0,216.0,0.0,216.0,0.0,2021-06-04 03:00:00,2021-06-04,3
0.0,131.0,0.0,131.0,0.0,2021-06-04 04:00:00,2021-06-04,4
5.0,158.0,0.0,163.0,5.0,2021-06-04 05:00:00,2021-06-04,5
216.0,14.0,77.0,153.0,139.0,2021-06-04 06:00:00,2021-06-04,6
330.0,74.0,159.0,245.0,171.0,2021-06-04 07:00:00,2021-06-04,7
818.0,37.0,647.0,208.0,171.0,2021-06-04 08:00:00,2021-06-04,8
1132.0,43.0,836.0,339.0,296.0,2021-06-04 09:00:00,2021-06-04,9
2016.0,1.0,1744.0,273.0,272.0,2021-06-04 10:00:00,2021-06-04,10
4781.0,0.0,3998.0,783.0,783.0,2021-06-04 11:00:00,2021-06-04,11
5243.0,0.0,4752.0,491.0,491.0,2021-06-04 12:00:00,2021-06-04,12
3548.0,0.0,3146.0,402.0,402.0,2021-06-04 13:00:00,2021-06-04,13
336.0,476.0,39.0,773.0,297.0,2021-06-04 14:00:00,2021-06-04,14
456.0,76.0,142.0,390.0,314.0,2021-06-04 15:00:00,2021-06-04,15
658.0,42.0,404.0,296.0,254.0,2021-06-04 16:00:00,2021-06-04,16
790.0,14.0,526.0,278.0,264.0,2021-06-04 17:00:00,2021-06-04,17
1069.0,1.0,788.0,282.0,281.0,2021-06-04 18:00:00,2021-06-04,18
677.0,228.0,370.0,535.0,307.0,2021-06-04 19:00:00,2021-06-04,19
101.0,363.0,0.0,464.0,101.0,2021-06-04 20:00:00,2021-06-04,20
0.0,241.0,0.0,241.0,0.0,2021-06-04 21:00:00,2021-06-04,21
0.0,649.0,0.0,649.0,0.0,2021-06-04 22:00:00,2021-06-04,22
0.0,301.0,0.0,301.0,0.0,2021-06-04 23:00:00,2021-06-04,23
0.0,179.0,0.0,179.0,0.0,2021-06-05 00:00:00,2021-06-05,0
0.0,149.0,0.0,149.0,0.0,2021-06-05 01:00:00,2021-06-05,1
0.0,141.0,0.0,141.0,0.0,2021-06-05 02:00:00,2021-06-05,2
0.0,188.0,0.0,188.0,0.0,2021-06-05 03:00:00,2021-06-05,3
0.0,122.0,0.0,122.0,0.0,2021-06-05 04:00:00,2021-06-05,4
77.0,80.0,21.0,136.0,56.0,2021-06-05 05:00:00,2021-06-05,5
79.0,70.0,2.0,147.0,77.0,2021-06-05 06:00:00,2021-06-05,6
417.0,1.0,272.0,146.0,145.0,2021-06-05 07:00:00,2021-06-05,7
1441.0,6.0,1135.0,312.0,306.0,2021-06-05 08:00:00,2021-06-05,8
2230.0,0.0,1979.0,251.0,251.0,2021-06-05 09:00:00,2021-06-05,9
1847.0,2.0,1482.0,367.0,365.0,2021-06-05 10:00:00,2021-06-05,10
1633.0,0.0,1346.0,287.0,287.0,2021-06-05 11:00:00,2021-06-05,11
2389.0,0.0,2090.0,299.0,299.0,2021-06-05 12:00:00,2021-06-05,12
1811.0,151.0,974.0,988.0,837.0,2021-06-05 13:00:00,2021-06-05,13
4006.0,0.0,3648.0,358.0,358.0,2021-06-05 14:00:00,2021-06-05,14
2198.0,76.0,1653.0,621.0,545.0,2021-06-05 15:00:00,2021-06-05,15
445.0,451.0,75.0,821.0,370.0,2021-06-05 16:00:00,2021-06-05,16
373.0,111.0,110.0,374.0,263.0,2021-06-05 17:00:00,2021-06-05,17
