,Consumption,Production,Time,Date,Purchased,is_weekend
0,222.0,0.0,0,2021-06-01,222.0,0
1,142.0,0.0,1,2021-06-01,142.0,0
2,148.0,0.0,2,2021-06-01,148.0,0
3,159.0,0.0,3,2021-06-01,159.0,0
4,123.0,0.0,4,2021-06-01,123.0,0
5,156.0,0.0,5,2021-06-01,156.0,0
6,190.0,114.0,6,2021-06-01,82.0,0
7,283.0,314.0,7,2021-06-01,93.0,0
8,210.0,1270.0,8,2021-06-01,0.0,0
9,269.0,2697.0,9,2021-06-01,0.0,0
10,393.0,4018.0,10,2021-06-01,0.0,0
11,385.0,4996.0,11,2021-06-01,0.0,0
12,415.0,5235.0,12,2021-06-01,0.0,0
13,1148.0,5393.0,13,2021-06-01,0.0,0
14,343.0,5173.0,14,2021-06-01,0.0,0
15,408.0,5114.0,15,2021-06-01,0.0,0
16,423.0,4391.0,16,2021-06-01,0.0,0
17,307.0,3147.0,17,2021-06-01,0.0,0
18,231.0,1678.0,18,2021-06-01,0.0,0
19,254.0,482.0,19,2021-06-01,13.0,0
20,326.0,76.0,20,2021-06-01,252.0,0
21,337.0,0.0,21,2021-06-01,337.0,0
22,318.0,0.0,22,2021-06-01,318.0,0
23,249.0,0.0,23,2021-06-01,249.0,0
24,227.0,0.0,0,2021-06-02,227.0,0
25,166.0,0.0,1,2021-06-02,166.0,0
26,141.0,0.0,2,2021-06-02,141.0,0
27,145.0,0.0,3,2021-06-02,145.0,0
28,172.0,0.0,4,2021-06-02,172.0,0
29,165.0,1.0,5,2021-06-02,164.0,0
30,306.0,112.0,6,2021-06-02,202.0,0
31,1274.0,305.0,7,2021-06-02,969.0,0
32,412.0,1255.0,8,2021-06-02,78.0,0
33,309.0,2701.0,9,2021-06-02,0.0,0
34,343.0,3942.0,10,2021-06-02,0.0,0
35,458.0,4920.0,11,2021-06-02,0.0,0
36,389.0,5204.0,12,2021-06-02,0.0,0
37,421.0,5215.0,13,2021-06-02,0.0,0
38,1060.0,5379.0,14,2021-06-02,0.0,0
39,409.0,4996.0,15,2021-06-02,0.0,0
40,391.0,4286.0,16,2021-06-02,0.0,0
41,300.0,3057.0,17,2021-06-02,0.0,0
42,210.0,1633.0,18,2021-06-02,0.0,0
43,200.0,458.0,19,2021-06-02,13.0,0
44,265.0,79.0,20,2021-06-02,186.0,0
45,329.0,0.0,21,2021-06-02,329.0,0
46,270.0,0.0,22,2021-06-02,270.0,0
47,289.0,0.0,23,2021-06-02,289.0,0
48,198.0,0.0,0,2021-06-03,198.0,0
49,146.0,0.0,1,2021-06-03,146.0,0
50,146.0,0.0,2,2021-06-03,146.0,0
51,140.0,0.0,3,2021-06-03,140.0,0
52,145.0,0.0,4,2021-06-03,145.0,0
53,172.0,0.0,5,2021-06-03,172.0,0
54,121.0,150.0,6,2021-06-03,24.0,0
55,159.0,486.0,7,2021-06-03,1.0,0
56,258.0,1683.0,8,2021-06-03,0.0,0
57,356.0,1713.0,9,2021-06-03,7.0,0
58,370.0,2427.0,10,2021-06-03,0.0,0
59,289.0,4420.0,11,2021-06-03,0.0,0
60,266.0,5099.0,12,2021-06-03,0.0,0
61,776.0,2048.0,13,2021-06-03,304.0,0
62,437.0,1830.0,14,2021-06-03,116.0,0
63,908.0,4486.0,15,2021-06-03,1.0,0
64,802.0,3000.0,16,2021-06-03,78.0,0
65,468.0,2840.0,17,2021-06-03,11.0,0
66,246.0,841.0,18,2021-06-03,0.0,0
67,270.0,426.0,19,2021-06-03,4.0,0
68,269.0,65.0,20,2021-06-03,205.0,0
69,370.0,0.0,21,2021-06-03,370.0,0
70,313.0,0.0,22,2021-06-03,313.0,0
71,313.0,0.0,23,2021-06-03,313.0,0
72,299.0,0.0,0,2021-06-04,299.0,0
73,163.0,0.0,1,2021-06-04,163.0,0
74,154.0,0.0,2,2021-06-04,154.0,0
75,216.0,0.0,3,2021-06-04,216.0,0
76,131.0,0.0,4,2021-06-04,131.0,0
77,163.0,5.0,5,2021-06-04,158.0,0
78,153.0,216.0,6,2021-06-04,14.0,0
79,245.0,330.0,7,2021-06-04,74.0,0
80,208.0,818.0,8,2021-06-04,37.0,0
81,339.0,1132.0,9,2021-06-04,43.0,0
82,273.0,2016.0,10,2021-06-04,1.0,0
83,783.0,4781.0,11,2021-06-04,0.0,0
84,491.0,5243.0,12,2021-06-04,0.0,0
85,402.0,3548.0,13,2021-06-04,0.0,0
86,773.0,336.0,14,2021-06-04,476.0,0
87,390.0,456.0,15,2021-06-04,76.0,0
88,296.0,658.0,16,2021-06-04,42.0,0
89,278.0,790.0,17,2021-06-04,14.0,0
90,282.0,1069.0,18,2021-06-04,1.0,0
91,535.0,677.0,19,2021-06-04,228.0,0
92,464.0,101.0,20,2021-06-04,363.0,0
93,241.0,0.0,21,2021-06-04,241.0,0
94,649.0,0.0,22,2021-06-04,649.0,0
95,301.0,0.0,23,2021-06-04,301.0,0
96,179.0,0.0,0,2021-06-05,179.0,1
97,149.0,0.0,1,2021-06-05,149.0,1
98,141.0,0.0,2,2021-06-05,141.0,1
99,188.0,0.0,3,2021-06-05,188.0,1
100,122.0,0.0,4,2021-06-05,122.0,1
101,136.0,77.0,5,2021-06-05,80.0,1
102,147.0,79.0,6,2021-06-05,70.0,1
103,146.0,417.0,7,2021-06-05,1.0,1
104,312.0,1441.0,8,2021-06-05,6.0,1
105,251.0,2230.0,9,2021-06-05,0.0,1
106,367.0,1847.0,10,2021-06-05,2.0,1
107,287.0,1633.0,11,2021-06-05,0.0,1
108,299.0,2389.0,12,2021-06-05,0.0,1
109,988.0,1811.0,13,2021-06-05,151.0,1
110,358.0,4006.0,14,2021-06-05,0.0,1
111,621.0,2198.0,15,2021-06-05,76.0,1
112,821.0,445.0,16,2021-06-05,451.0,1
113,374.0,373.0,17,2021-06-05,111.0,1
114,315.0,409.0,18,2021-06-05,17.0,1
115,350.0,521.0,19,2021-06-05,20.0,1
116,399.0,156.0,20,2021-06-05,243.0,1
117,263.0,0.0,21,2021-06-05,263.0,1
118,260.0,0.0,22,2021-06-05,260.0,1
119,268.0,0.0,23,2021-06-05,268.0,1
120,315.0,0.0,0,2021-06-06,315.0,1
121,151.0,0.0,1,2021-06-06,151.0,1
122,147.0,0.0,2,2021-06-06,147.0,1
123,148.0,0.0,3,2021-06-06,148.0,1
124,139.0,0.0,4,2021-06-06,139.0,1
125,174.0,0.0,5,2021-06-06,174.0,1
126,129.0,31.0,6,2021-06-06,98.0,1
127,131.0,114.0,7,2021-06-06,39.0,1
128,297.0,156.0,8,2021-06-06,160.0,1
129,266.0,179.0,9,2021-06-06,118.0,1
130,327.0,293.0,10,2021-06-06,102.0,1
131,254.0,552.0,11,2021-06-06,8.0,1
132,414.0,556.0,12,2021-06-06,50.0,1
133,1474.0,668.0,13,2021-06-06,1037.0,1
134,402.0,954.0,14,2021-06-06,51.0,1
135,290.0,762.0,15,2021-06-06,9.0,1
136,323.0,424.0,16,2021-06-06,113.0,1
137,262.0,295.0,17,2021-06-06,39.0,1
138,208.0,545.0,18,2021-06-06,1.0,1
139,236.0,161.0,19,2021-06-06,85.0,1
140,440.0,50.0,20,2021-06-06,390.0,1
141,559.0,0.0,21,2021-06-06,559.0,1
142,499.0,0.0,22,2021-06-06,499.0,1
143,357.0,0.0,23,2021-06-06,357.0,1
144,229.0,0.0,0,2021-06-07,229.0,0
145,147.0,0.0,1,2021-06-07,147.0,0
146,136.0,0.0,2,2021-06-07,136.0,0
147,174.0,0.0,3,2021-06-07,174.0,0
148,129.0,0.0,4,2021-06-07,129.0,0
149,167.0,0.0,5,2021-06-07,167.0,0
150,157.0,1.0,6,2021-06-07,156.0,0
151,291.0,152.0,7,2021-06-07,157.0,0
152,801.0,189.0,8,2021-06-07,615.0,0
153,740.0,483.0,9,2021-06-07,347.0,0
154,273.0,775.0,10,2021-06-07,1.0,0
155,270.0,821.0,11,2021-06-07,10.0,0
156,325.0,1036.0,12,2021-06-07,31.0,0
157,472.0,1217.0,13,2021-06-07,137.0,0
158,341.0,1079.0,14,2021-06-07,61.0,0
159,258.0,1264.0,15,2021-06-07,2.0,0
160,248.0,1843.0,16,2021-06-07,0.0,0
161,358.0,989.0,17,2021-06-07,70.0,0
162,418.0,1114.0,18,2021-06-07,34.0,0
163,317.0,395.0,19,2021-06-07,69.0,0
164,312.0,14.0,20,2021-06-07,298.0,0
165,242.0,0.0,21,2021-06-07,242.0,0
166,282.0,0.0,22,2021-06-07,282.0,0
167,337.0,0.0,23,2021-06-07,337.0,0
168,192.0,0.0,0,2021-06-08,192.0,0
169,171.0,0.0,1,2021-06-08,171.0,0
170,141.0,0.0,2,2021-06-08,141.0,0
171,178.0,0.0,3,2021-06-08,178.0,0
172,143.0,0.0,4,2021-06-08,143.0,0
173,156.0,0.0,5,2021-06-08,156.0,0
174,142.0,69.0,6,2021-06-08,81.0,0
175,301.0,259.0,7,2021-06-08,111.0,0
176,339.0,484.0,8,2021-06-08,76.0,0
177,356.0,895.0,9,2021-06-08,47.0,0
178,256.0,1672.0,10,2021-06-08,0.0,0
179,385.0,2216.0,11,2021-06-08,0.0,0
180,398.0,3268.0,12,2021-06-08,0.0,0
181,1164.0,4007.0,13,2021-06-08,58.0,0
182,313.0,4323.0,14,2021-06-08,0.0,0
183,214.0,3281.0,15,2021-06-08,0.0,0
184,268.0,3712.0,16,2021-06-08,0.0,0
185,435.0,2808.0,17,2021-06-08,3.0,0
186,571.0,914.0,18,2021-06-08,316.0,0
187,768.0,45.0,19,2021-06-08,723.0,0
188,370.0,0.0,20,2021-06-08,370.0,0
189,373.0,0.0,21,2021-06-08,373.0,0
190,605.0,0.0,22,2021-06-08,605.0,0
191,742.0,0.0,23,2021-06-08,742.0,0
192,361.0,0.0,0,2021-06-09,361.0,0
193,152.0,0.0,1,2021-06-09,152.0,0
194,161.0,0.0,2,2021-06-09,161.0,0
195,133.0,0.0,3,2021-06-09,133.0,0
196,138.0,0.0,4,2021-06-09,138.0,0
197,187.0,0.0,5,2021-06-09,187.0,0
198,125.0,66.0,6,2021-06-09,67.0,0
199,275.0,468.0,7,2021-06-09,59.0,0
200,419.0,1000.0,8,2021-06-09,78.0,0
201,626.0,2673.0,9,2021-06-09,16.0,0
202,649.0,2772.0,10,2021-06-09,7.0,0
203,864.0,4686.0,11,2021-06-09,0.0,0
204,979.0,4044.0,12,2021-06-09,66.0,0
205,281.0,2318.0,13,2021-06-09,0.0,0
206,328.0,2944.0,14,2021-06-09,1.0,0
207,282.0,934.0,15,2021-06-09,4.0,0
208,383.0,642.0,16,2021-06-09,55.0,0
209,523.0,843.0,17,2021-06-09,151.0,0
210,1330.0,967.0,18,2021-06-09,835.0,0
211,254.0,667.0,19,2021-06-09,16.0,0
212,331.0,65.0,20,2021-06-09,266.0,0
213,333.0,0.0,21,2021-06-09,333.0,0
214,335.0,0.0,22,2021-06-09,335.0,0
215,259.0,0.0,23,2021-06-09,259.0,0
216,173.0,0.0,0,2021-06-10,173.0,0
217,145.0,0.0,1,2021-06-10,145.0,0
218,143.0,0.0,2,2021-06-10,143.0,0
219,172.0,0.0,3,2021-06-10,172.0,0
220,127.0,0.0,4,2021-06-10,127.0,0
221,158.0,0.0,5,2021-06-10,158.0,0
