,Consumption,Production,Time,Date,Purchased,is_weekend
0,167.0,0.0,0,2021-10-01,167.0,0
1,166.0,0.0,1,2021-10-01,166.0,0
2,151.0,0.0,2,2021-10-01,151.0,0
3,150.0,0.0,3,2021-10-01,150.0,0
4,146.0,0.0,4,2021-10-01,146.0,0
5,155.0,0.0,5,2021-10-01,155.0,0
6,145.0,0.0,6,2021-10-01,145.0,0
7,398.0,16.0,7,2021-10-01,382.0,0
8,365.0,484.0,8,2021-10-01,98.0,0
9,329.0,2028.0,9,2021-10-01,2.0,0
10,261.0,3272.0,10,2021-10-01,0.0,0
11,300.0,4655.0,11,2021-10-01,0.0,0
12,360.0,5116.0,12,2021-10-01,0.0,0
13,239.0,5073.0,13,2021-10-01,0.0,0
14,251.0,4990.0,14,2021-10-01,0.0,0
15,309.0,4442.0,15,2021-10-01,0.0,0
16,297.0,3407.0,16,2021-10-01,0.0,0
17,449.0,1757.0,17,2021-10-01,6.0,0
18,475.0,197.0,18,2021-10-01,356.0,0
19,369.0,0.0,19,2021-10-01,369.0,0
20,222.0,0.0,20,2021-10-01,222.0,0
21,248.0,0.0,21,2021-10-01,248.0,0
22,469.0,0.0,22,2021-10-01,469.0,0
23,346.0,0.0,23,2021-10-01,346.0,0
24,151.0,0.0,0,2021-10-02,151.0,1
25,145.0,0.0,1,2021-10-02,145.0,1
26,149.0,0.0,2,2021-10-02,149.0,1
27,147.0,0.0,3,2021-10-02,147.0,1
28,124.0,0.0,4,2021-10-02,124.0,1
29,157.0,0.0,5,2021-10-02,157.0,1
30,203.0,0.0,6,2021-10-02,203.0,1
31,218.0,44.0,7,2021-10-02,187.0,1
32,243.0,361.0,8,2021-10-02,63.0,1
33,325.0,1353.0,9,2021-10-02,19.0,1
34,253.0,3132.0,10,2021-10-02,0.0,1
35,294.0,4302.0,11,2021-10-02,0.0,1
36,354.0,5126.0,12,2021-10-02,0.0,1
37,576.0,4639.0,13,2021-10-02,0.0,1
38,1132.0,4862.0,14,2021-10-02,0.0,1
39,1234.0,3745.0,15,2021-10-02,33.0,1
40,949.0,2828.0,16,2021-10-02,0.0,1
41,709.0,1005.0,17,2021-10-02,136.0,1
42,627.0,161.0,18,2021-10-02,479.0,1
43,1013.0,0.0,19,2021-10-02,1013.0,1
44,1250.0,0.0,20,2021-10-02,1250.0,1
45,752.0,0.0,21,2021-10-02,752.0,1
46,306.0,0.0,22,2021-10-02,306.0,1
47,318.0,0.0,23,2021-10-02,318.0,1
48,182.0,0.0,0,2021-10-03,182.0,1
49,144.0,0.0,1,2021-10-03,144.0,1
50,172.0,0.0,2,2021-10-03,172.0,1
51,144.0,0.0,3,2021-10-03,144.0,1
52,118.0,0.0,4,2021-10-03,118.0,1
53,171.0,0.0,5,2021-10-03,171.0,1
54,196.0,0.0,6,2021-10-03,196.0,1
55,164.0,0.0,7,2021-10-03,164.0,1
56,210.0,119.0,8,2021-10-03,116.0,1
57,238.0,215.0,9,2021-10-03,83.0,1
58,368.0,176.0,10,2021-10-03,201.0,1
59,324.0,175.0,11,2021-10-03,151.0,1
60,215.0,368.0,12,2021-10-03,8.0,1
61,238.0,333.0,13,2021-10-03,8.0,1
62,733.0,493.0,14,2021-10-03,302.0,1
63,260.0,163.0,15,2021-10-03,117.0,1
64,357.0,87.0,16,2021-10-03,270.0,1
65,281.0,55.0,17,2021-10-03,226.0,1
66,503.0,0.0,18,2021-10-03,503.0,1
67,549.0,0.0,19,2021-10-03,549.0,1
68,425.0,0.0,20,2021-10-03,425.0,1
69,516.0,0.0,21,2021-10-03,516.0,1
70,638.0,0.0,22,2021-10-03,638.0,1
71,242.0,0.0,23,2021-10-03,242.0,1
72,156.0,0.0,0,2021-10-04,156.0,0
73,152.0,0.0,1,2021-10-04,152.0,0
74,135.0,0.0,2,2021-10-04,135.0,0
75,138.0,0.0,3,2021-10-04,138.0,0
76,169.0,0.0,4,2021-10-04,169.0,0
77,222.0,0.0,5,2021-10-04,222.0,0
78,158.0,0.0,6,2021-10-04,158.0,0
79,548.0,0.0,7,2021-10-04,548.0,0
80,484.0,54.0,8,2021-10-04,430.0,0
81,349.0,272.0,9,2021-10-04,90.0,0
82,430.0,406.0,10,2021-10-04,82.0,0
83,429.0,715.0,11,2021-10-04,47.0,0
84,351.0,1138.0,12,2021-10-04,0.0,0
85,508.0,1150.0,13,2021-10-04,119.0,0
86,271.0,960.0,14,2021-10-04,0.0,0
87,366.0,981.0,15,2021-10-04,38.0,0
88,239.0,741.0,16,2021-10-04,0.0,0
89,224.0,263.0,17,2021-10-04,53.0,0
90,235.0,30.0,18,2021-10-04,205.0,0
91,743.0,0.0,19,2021-10-04,743.0,0
92,421.0,0.0,20,2021-10-04,421.0,0
93,435.0,0.0,21,2021-10-04,435.0,0
94,355.0,0.0,22,2021-10-04,355.0,0
95,311.0,0.0,23,2021-10-04,311.0,0
96,173.0,0.0,0,2021-10-05,173.0,0
97,147.0,0.0,1,2021-10-05,147.0,0
98,140.0,0.0,2,2021-10-05,140.0,0
99,148.0,0.0,3,2021-10-05,148.0,0
100,150.0,0.0,4,2021-10-05,150.0,0
101,180.0,0.0,5,2021-10-05,180.0,0
102,443.0,0.0,6,2021-10-05,443.0,0
103,442.0,0.0,7,2021-10-05,442.0,0
104,406.0,140.0,8,2021-10-05,270.0,0
105,222.0,410.0,9,2021-10-05,7.0,0
106,802.0,864.0,10,2021-10-05,275.0,0
